,Date,Time,Vrms ph-n AN Avg,Vrms ph-n BN Avg,Vrms ph-n CN Avg,Vrms ph-n NG Avg,Current A Avg,Current B Avg,Current C Avg,Current Phi AN Avg,Current Phi BN Avg,Current Phi CN Avg,Active Power Total Avg,Apparent Power Total Avg,Reactive Power Total Avg,Cos Phi AN Avg,Cos Phi BN Avg,Cos Phi CN Avg,Cos Phi Total Avg
1251,2019-09-01,1:47:13 AM.135,248.04,247.84,248.0,0.78,828.1,768.2,719.4,-3.84,-130.28,-245.0,560400,575100,61350,1.0,0.98,1.0,0.99
1252,2019-09-01,1:47:43 AM.135,248.16,247.2,246.84,0.72,827.5,758.2,706.4,-3.3,-130.62,-244.26,553800,568200,57000,1.0,0.98,1.0,0.99
1253,2019-09-01,1:48:13 AM.135,248.26,247.14,246.56,0.72,805.5,732.8,681.7,-2.88,-130.58,-243.68,536400,550350,51450,1.0,0.98,1.0,1.0
1254,2019-09-01,1:48:43 AM.135,248.24,247.24,246.58,0.74,806.8,731.4,675.0,-2.84,-130.5,-243.7,534600,548850,51150,1.0,0.98,1.0,1.0
1255,2019-09-01,1:49:13 AM.135,248.34,247.24,246.5,0.72,802.9,725.8,669.1,-3.06,-130.86,-243.84,531000,545100,52950,1.0,0.98,1.0,1.0
1256,2019-09-01,1:49:43 AM.135,248.68,247.72,246.98,0.74,806.3,728.4,671.5,-3.02,-130.86,-244.0,533550,548250,53550,1.0,0.98,1.0,0.99
1257,2019-09-01,1:50:13 AM.135,248.54,247.6,246.8,0.76,814.1,740.8,678.7,-2.94,-130.78,-244.26,539850,554700,54300,1.0,0.98,1.0,0.99
1258,2019-09-01,1:50:43 AM.135,248.32,247.52,246.58,0.76,818.6,744.7,680.4,-3.08,-131.26,-244.48,541800,556800,57000,1.0,0.98,1.0,0.99
1259,2019-09-01,1:51:13 AM.135,248.0,247.4,246.46,0.72,849.3,780.9,713.0,-4.82,-132.8,-246.56,564300,580800,77250,1.0,0.98,0.99,0.99
1260,2019-09-01,1:51:43 AM.135,247.94,246.98,245.48,0.76,861.0,790.8,711.7,-3.92,-132.62,-245.92,568800,585000,71100,1.0,0.98,1.0,0.99
1261,2019-09-01,1:52:13 AM.135,247.94,247.22,245.84,0.74,872.4,802.0,725.1,-3.66,-132.42,-245.48,577500,594300,69300,1.0,0.98,1.0,0.99
1262,2019-09-01,1:52:43 AM.135,248.02,247.68,246.78,0.76,870.9,802.6,731.7,-3.98,-132.42,-245.64,579300,596700,71700,1.0,0.98,1.0,0.99
1263,2019-09-01,1:53:13 AM.135,247.98,247.32,246.5,0.76,881.3,811.0,744.2,-4.32,-132.38,-245.62,586500,603900,73650,1.0,0.98,1.0,0.99
1264,2019-09-01,1:53:43 AM.135,248.1,247.14,246.12,0.78,880.2,807.2,738.2,-3.74,-132.2,-245.08,583350,600900,68550,1.0,0.98,1.0,0.99
1265,2019-09-01,1:54:13 AM.135,248.14,247.18,246.54,0.8,874.4,801.6,742.7,-3.68,-131.46,-244.72,582300,599400,64950,1.0,0.98,1.0,0.99
1266,2019-09-01,1:54:43 AM.135,248.32,247.46,246.78,0.78,868.1,797.5,742.3,-3.26,-131.1,-244.36,580500,597300,60900,1.0,0.98,1.0,0.99
1267,2019-09-01,1:55:13 AM.135,248.32,247.4,246.18,0.78,876.2,802.5,738.4,-2.96,-131.56,-244.38,581850,599250,60900,1.0,0.98,1.0,0.99
1268,2019-09-01,1:55:43 AM.135,248.18,247.5,246.74,0.78,879.2,804.3,747.2,-3.6,-131.46,-244.76,585750,602850,65100,1.0,0.98,1.0,0.99
1269,2019-09-01,1:56:13 AM.135,248.34,247.94,247.48,0.78,870.8,800.7,746.2,-3.72,-131.14,-244.94,583800,600600,65250,1.0,0.98,1.0,0.99
1270,2019-09-01,1:56:43 AM.135,248.42,247.92,247.22,0.78,874.0,800.6,745.2,-3.46,-130.9,-244.78,584400,601050,62700,1.0,0.98,1.0,0.99
1271,2019-09-01,1:57:13 AM.135,248.42,247.84,247.02,0.78,881.4,809.2,750.1,-3.96,-131.62,-245.38,588450,605850,69300,1.0,0.98,1.0,0.99
1272,2019-09-01,1:57:43 AM.135,248.2,247.36,246.58,0.8,900.9,826.6,768.7,-4.46,-131.96,-245.82,601050,618600,75450,1.0,0.98,1.0,0.99
1273,2019-09-01,1:58:13 AM.135,248.36,247.64,247.06,0.7,898.3,826.5,774.6,-4.08,-131.04,-245.46,603750,620100,70050,1.0,0.98,1.0,0.99
1274,2019-09-01,1:58:43 AM.135,248.3,247.54,246.86,0.78,890.4,817.4,764.4,-4.22,-131.48,-245.44,596700,613200,71100,1.0,0.98,1.0,0.99
1275,2019-09-01,1:59:13 AM.135,248.4,247.58,246.74,0.76,853.1,786.3,729.0,-4.06,-131.94,-245.54,571800,587550,69150,1.0,0.98,1.0,0.99
1276,2019-09-01,1:59:43 AM.135,248.52,247.86,247.4,0.74,836.6,771.4,721.9,-4.64,-132.0,-245.88,563550,578700,72000,1.0,0.98,1.0,0.99
1277,2019-09-01,2:00:13 AM.135,248.42,248.02,247.76,0.72,832.1,770.2,722.7,-4.88,-131.86,-246.3,562500,577650,73950,1.0,0.98,0.99,0.99
1278,2019-09-01,2:00:43 AM.135,248.32,247.84,247.52,0.72,845.8,786.0,736.3,-5.1,-132.0,-246.58,572250,587850,77250,1.0,0.98,0.99,0.99
1279,2019-09-01,2:01:13 AM.135,248.1,247.5,247.2,0.76,878.1,820.2,769.0,-5.42,-132.26,-246.7,595050,611700,82800,1.0,0.98,0.99,0.99
1280,2019-09-01,2:01:43 AM.135,248.16,247.72,247.48,0.76,877.9,817.2,770.3,-5.12,-132.0,-246.32,594900,611700,79500,1.0,0.98,0.99,0.99
1281,2019-09-01,2:02:13 AM.135,248.08,247.72,247.3,0.76,878.0,811.7,761.1,-4.98,-132.14,-246.26,590850,608100,78450,1.0,0.98,0.99,0.99
1282,2019-09-01,2:02:43 AM.135,248.24,247.88,247.48,0.76,872.1,806.5,754.6,-4.78,-132.08,-246.02,586950,604200,76350,1.0,0.98,0.99,0.99
1283,2019-09-01,2:03:13 AM.135,248.54,248.38,248.04,0.74,826.2,762.1,703.6,-4.76,-132.54,-246.26,553800,570300,74400,1.0,0.98,0.99,0.99
1284,2019-09-01,2:03:43 AM.135,248.54,248.38,247.96,0.72,818.4,755.1,693.2,-5.14,-133.12,-246.78,547350,564000,78300,1.0,0.97,0.99,0.99
1285,2019-09-01,2:04:13 AM.135,248.36,248.2,247.88,0.7,829.4,765.9,704.0,-5.88,-133.7,-247.52,554400,571800,86100,0.99,0.97,0.99,0.99
1286,2019-09-01,2:04:43 AM.135,248.4,248.28,248.32,0.72,830.6,765.9,713.4,-5.88,-132.88,-247.3,557400,574650,83700,0.99,0.97,0.99,0.99
1287,2019-09-01,2:05:13 AM.135,248.32,248.16,247.84,0.76,865.7,801.3,741.7,-5.36,-132.68,-247.04,580500,598800,83250,1.0,0.98,0.99,0.99
1288,2019-09-01,2:05:43 AM.135,248.3,248.08,247.62,0.78,874.1,813.5,749.4,-5.1,-132.78,-246.88,587100,605550,82800,1.0,0.98,0.99,0.99
1289,2019-09-01,2:06:13 AM.135,248.24,247.9,247.22,0.8,878.8,823.2,751.4,-4.74,-132.9,-246.7,590700,609150,81450,1.0,0.98,0.99,0.99
1290,2019-09-01,2:06:43 AM.135,247.68,247.34,246.74,0.8,903.0,852.7,779.7,-6.36,-134.16,-248.5,607800,627900,100800,0.99,0.97,0.99,0.99
